type,subtype,value
Fundamental,3000.0-4000.0,0.01
Fundamental,4000.0-5000.0,0.005
Fundamental,6000.0-8000.0,0.002
Fundamental,8000.0-100000.0,0.005
Fundamental,10000.0-100000.0,0.005
SALT_UV_CAL,,0.03
SALT_U_CAL,,0.01
SALT_I_CAL,,0.01
LANDOLT_U_CAL,,0.005
LANDOLT_B_CAL,,0.005
LANDOLT_V_CAL,,0.005
LANDOLT_R_CAL,,0.005
LANDOLT_I_CAL,,0.005
LANDOLT_U_LAM,,15
LANDOLT_B_LAM,,15
LANDOLT_V_LAM,,15
LANDOLT_R_LAM,,15
LANDOLT_I_LAM,,15
SMITH_u_CAL,,0.005
SMITH_g_CAL,,0.005
SMITH_r_CAL,,0.005
SMITH_i_CAL,,0.005
SMITH_z_CAL,,0.005
SMITH_u_LAM,,15
SMITH_g_LAM,,15
SMITH_r_LAM,,15
SMITH_i_LAM,,15
SMITH_z_LAM,,15
PS1_g_CAL,,0.0049
PS1_r_CAL,,0.0046
PS1_i_CAL,,0.0048
PS1_z_CAL,,0.0036
PS1_g_LAM,,6.6
PS1_r_LAM,,7.5
PS1_i_LAM,,7.3
PS1_z_LAM,,8.5
Zeropoint,UVOT|UVOT_u,0.09
Zeropoint,UVOT|UVOT_b,0.03
Zeropoint,UVOT|UVOT_v,0.03
Lambda,UVOT|UVOT_u,10
Lambda,UVOT|UVOT_b,10
Lambda,UVOT|UVOT_v,10
Zeropoint,CNIa02|Bessell12_B,0.01
Zeropoint,CNIa02|Bessell12_V,0.01
Zeropoint,CNIa02|SDSS_g,0.01
Zeropoint,CNIa02|SDSS_r,0.01
Zeropoint,CNIa02|SDSS_i,0.01
Lambda,CNIa02|Bessell12_B,20
Lambda,CNIa02|Bessell12_V,20
Lambda,CNIa02|SDSS_g,20
Lambda,CNIa02|SDSS_r,20
Lambda,CNIa02|SDSS_i,20
Zeropoint,ZTF|ztfg,0.02
Zeropoint,ZTF|ztfr,0.02
Zeropoint,ZTF|ZTF_g,0.02
Zeropoint,ZTF|ZTF_r,0.02
Zeropoint,ZTF|ZTF_i,0.02
Zeropoint,ATLAS|c,0.02
Zeropoint,ATLAS|o,0.02
Zeropoint,UKIRT|J,0.02
Lambda,ZTF|ztfg,20
Lambda,ZTF|ztfr,20
Lambda,ZTF|ZTF_g,20
Lambda,ZTF|ZTF_r,20
Lambda,ZTF|ZTF_i,20
Lambda,ATLAS|c,20
Lambda,ATLAS|o,20
Lambda,UKIRT|J,20
Zeropoint,NB99|NB99_b4,0.01
Zeropoint,NB99|NB99_b12,0.01
Zeropoint,NB99|NB99_b5,0.01
Zeropoint,NB99|NB99_b6,0.01
Zeropoint,NB99|NB99_b11,0.01
Zeropoint,NB99|NB99_b7,0.01
Zeropoint,NB99|NB99_b10,0.01
Zeropoint,NB99|NB99_b8,0.01
Zeropoint,NB99|NB99_b1,0.01
Zeropoint,NB99|NB99_v5,0.01
Zeropoint,NB99|NB99_v11,0.01
Zeropoint,NB99|NB99_v12,0.01
Zeropoint,NB99|NB99_v6,0.01
Zeropoint,NB99|NB99_v4,0.01
Zeropoint,NB99|NB99_v1,0.01
Zeropoint,NB99|NB99_v7,0.01
Zeropoint,NB99|NB99_v8,0.01
Zeropoint,NB99|NB99_v10,0.01
Zeropoint,NB99|NB99_r5,0.01
Zeropoint,NB99|NB99_r4,0.01
Zeropoint,NB99|NB99_r12,0.01
Zeropoint,NB99|NB99_r16,0.01
Zeropoint,NB99|NB99_r8,0.01
Zeropoint,NB99|NB99_r11,0.01
Zeropoint,NB99|NB99_r7,0.01
Zeropoint,NB99|NB99_r10,0.01
Zeropoint,NB99|NB99_r1,0.01
Zeropoint,NB99|NB99_i11,0.01
Zeropoint,NB99|NB99_i4,0.01
Zeropoint,NB99|NB99_i16,0.01
Zeropoint,NB99|NB99_i12,0.01
Zeropoint,NB99|NB99_i8,0.01
Zeropoint,NB99|NB99_i7,0.01
Zeropoint,NB99|NB99_i1,0.01
Zeropoint,NB99|NB99_i10,0.01
Lambda,NB99|NB99_b10,20
Lambda,NB99|NB99_b8,20
Lambda,NB99|NB99_b1,20
Lambda,NB99|NB99_b5,20
Lambda,NB99|NB99_b11,20
Lambda,NB99|NB99_b6,20
Lambda,NB99|NB99_b4,20
Lambda,NB99|NB99_b12,20
Lambda,NB99|NB99_b7,20
Lambda,NB99|NB99_v5,20
Lambda,NB99|NB99_v11,20
Lambda,NB99|NB99_v4,20
Lambda,NB99|NB99_v12,20
Lambda,NB99|NB99_v6,20
