#redshift mobs=mB+col2+col3*c
redshift,c2,c3
0.0	,0.219716,-2.110322
0.500100,0.219716,-2.110322
0.600100,0.122949,-1.971992
0.700100,-0.050975,-1.838235
0.800100,-0.272189,-1.733432
0.900100,-0.507546,-1.617391
1.000100,-0.700101,-1.480558
1.100100,-0.799777,-1.341518
1.200100,-0.882944,-1.150552
1.300100,-0.933390,-0.983380
1.400100,-0.987066,-0.782394
1.500100,-1.043560,-0.575208
1.600100,-1.079734,-0.414076
1.700100,-1.172366,-0.242431
1.800100,-1.231452,-0.070596
1.900100,-1.284295,0.055509
2.000100,-1.268113,0.169047
2.100100,-1.242530,0.348125
2.200100,-1.205613,0.527319
2.300100,-1.172739,0.685551
2.400100,-1.061515,0.882212
2.500100,-0.910706,1.160654
2.600100,-0.745571,1.494834
2.700100,-0.639017,1.802580
2.800100,-0.597760,2.083715
2.900100,-0.443339,2.448497
3.000100,-0.230900,2.881835
3.100100,-0.044726,3.298073
