#redshift mobs=mB+col2+col3*c
redshift,c2,c3
-0.010000,0.683958,-2.011736
0.000000,0.683958,-2.011736
0.010000,0.681115,-1.993937
0.020000,0.671187,-1.976616
0.030000,0.648117,-1.960746
0.040000,0.614333,-1.945909
0.050000,0.576136,-1.930913
0.060000,0.536684,-1.914928
0.070000,0.495328,-1.898022
0.080000,0.453473,-1.880081
0.090000,0.412891,-1.860782
0.100000,0.370011,-1.840547
0.110000,0.320457,-1.820133
0.120000,0.266985,-1.800010
0.130000,0.215539,-1.780967
0.140000,0.172826,-1.764121
0.150000,0.143175,-1.749767
0.160000,0.122427,-1.736011
0.170000,0.098064,-1.719558
0.180000,0.064807,-1.699179
0.190000,0.027382,-1.676326
0.200000,-0.010889,-1.652499
0.210000,-0.049228,-1.628345
0.220000,-0.087803,-1.604185
0.230000,-0.127366,-1.579876
0.240000,-0.166935,-1.554796
0.250000,-0.200559,-1.528963
0.260000,-0.226988,-1.502713
0.270000,-0.252070,-1.476143
0.280000,-0.275300,-1.449894
0.290000,-0.293083,-1.424642
0.300000,-0.305498,-1.399775
0.310000,-0.316261,-1.373855
0.320000,-0.326242,-1.346515
0.330000,-0.331782,-1.318479
0.340000,-0.332343,-1.289557
0.350000,-0.332650,-1.258317
0.360000,-0.336651,-1.224225
0.370000,-0.347644,-1.189119
0.380000,-0.368887,-1.156036
0.390000,-0.398640,-1.127392
0.400000,-0.429900,-1.103299
0.410000,-0.452838,-1.080709
0.420000,-0.463458,-1.056429
0.430000,-0.466912,-1.029585
0.440000,-0.466523,-1.001231
0.450000,-0.460736,-0.972864
0.460000,-0.451312,-0.944505
0.470000,-0.444584,-0.915512
0.480000,-0.443914,-0.886194
0.490000,-0.446677,-0.856734
0.500000,-0.449605,-0.826334
0.510000,-0.453125,-0.794444
0.520000,-0.458127,-0.761214
0.530000,-0.463483,-0.726749
0.540000,-0.470166,-0.691472
0.550000,-0.482513,-0.656985
0.560000,-0.501777,-0.624889
0.570000,-0.523351,-0.595291
0.580000,-0.542228,-0.567330
0.590000,-0.556911,-0.540101
0.600000,-0.568969,-0.513391
0.610000,-0.581127,-0.488077
0.620000,-0.593536,-0.464749
0.630000,-0.602097,-0.442288
0.640000,-0.603130,-0.418929
0.650000,-0.598166,-0.393912
0.660000,-0.592276,-0.367393
0.670000,-0.589437,-0.339603
0.680000,-0.591178,-0.310777
0.690000,-0.598436,-0.281528
0.700000,-0.612317,-0.252788
0.710000,-0.632335,-0.225092
0.720000,-0.655617,-0.198205
0.730000,-0.679133,-0.171718
0.740000,-0.701965,-0.145795
0.750000,-0.724670,-0.120938
0.760000,-0.746902,-0.097193
0.770000,-0.766972,-0.073897
0.780000,-0.783599,-0.050260
0.790000,-0.797515,-0.025979
0.800000,-0.810529,-0.001298
0.810000,-0.823466,0.023353
0.820000,-0.835129,0.047590
0.830000,-0.843194,0.071115
0.840000,-0.845732,0.093754
0.850000,-0.842207,0.115607
0.860000,-0.833517,0.137082
0.870000,-0.821312,0.158696
0.880000,-0.807027,0.180815
0.890000,-0.791582,0.203516
0.900000,-0.775688,0.226634
0.910000,-0.760349,0.249992
0.920000,-0.746719,0.273692
0.930000,-0.735698,0.298232
0.940000,-0.727956,0.324298
0.950000,-0.724265,0.352282
0.960000,-0.725451,0.381907
0.970000,-0.731827,0.412302
0.980000,-0.742102,0.442517
0.990000,-0.753581,0.472117
1.000000,-0.763144,0.501343
1.010000,-0.768559,0.530787
1.020000,-0.769172,0.560990
1.030000,-0.765374,0.592214
1.040000,-0.757838,0.624470
1.050000,-0.746828,0.657693
1.060000,-0.732082,0.691873
1.070000,-0.713205,0.727106
1.080000,-0.690238,0.763505
1.090000,-0.664177,0.801106
1.100000,-0.636906,0.839755
1.110000,-0.610429,0.879150
1.120000,-0.586027,0.919024
1.130000,-0.563637,0.959232
1.140000,-0.542025,0.999851
1.150000,-0.519577,1.041176
1.160000,-0.494916,1.083682
1.170000,-0.467262,1.128063
1.180000,-0.436637,1.175079
1.190000,-0.403999,1.225187
1.200000,-0.371257,1.278160
1.210000,-0.341071,1.332808
1.220000,-0.316077,1.387213
1.230000,-0.297868,1.439536
1.240000,-0.286458,1.488703
1.250000,-0.280365,1.534698
1.260000,-0.277438,1.578273
1.270000,-0.275789,1.620240
1.280000,-0.274163,1.661087
1.290000,-0.271971,1.700972
1.300000,-0.268996,1.739940
1.310000,-0.264864,1.778289
1.320000,-0.258868,1.816803
1.330000,-0.250000,1.856769
1.340000,-0.237074,1.899796
1.350000,-0.219173,1.947418
1.360000,-0.196064,2.000738
1.370000,-0.168267,2.060233
1.380000,-0.136986,2.125633
1.390000,-0.103819,2.196044
1.400000,-0.070256,2.270315
1.410000,-0.037368,2.347348
1.420000,-0.005720,2.426275
1.430000,0.024603,2.506536
1.440000,0.053767,2.587774
1.450000,0.081944,2.669592
1.460000,0.109290,2.751375
1.470000,0.135929,2.832263
1.480000,0.161906,2.911243
1.490000,0.187292,2.987334
1.500000,0.212332,3.059825
