#redshift mobs=mB+col2+col3*c
redshift,c2,c3
-0.010000,0.016815,-1.489510
0.000000,0.016815,-1.489510
0.010000,-0.012918,-1.457153
0.020000,-0.035074,-1.424703
0.030000,-0.051157,-1.391517
0.040000,-0.062415,-1.357156
0.050000,-0.070171,-1.320994
0.060000,-0.076864,-1.282222
0.070000,-0.085602,-1.241171
0.080000,-0.100207,-1.199885
0.090000,-0.123491,-1.161362
0.100000,-0.152740,-1.127244
0.110000,-0.179692,-1.095752
0.120000,-0.196918,-1.063715
0.130000,-0.203287,-1.029808
0.140000,-0.202711,-0.994334
0.150000,-0.199801,-0.957781
0.160000,-0.197533,-0.920572
0.170000,-0.196974,-0.882901
0.180000,-0.197684,-0.844294
0.190000,-0.199424,-0.804125
0.200000,-0.203133,-0.762317
0.210000,-0.210442,-0.719534
0.220000,-0.223187,-0.677289
0.230000,-0.241630,-0.637240
0.240000,-0.262978,-0.599862
0.250000,-0.283480,-0.564519
0.260000,-0.301317,-0.530730
0.270000,-0.316454,-0.498599
0.280000,-0.328311,-0.467767
0.290000,-0.335417,-0.436821
0.300000,-0.337908,-0.404395
0.310000,-0.338585,-0.370174
0.320000,-0.341224,-0.334646
0.330000,-0.348909,-0.298594
0.340000,-0.363259,-0.262910
0.350000,-0.383780,-0.228280
0.360000,-0.408177,-0.194907
0.370000,-0.434056,-0.162703
0.380000,-0.460016,-0.131534
0.390000,-0.485147,-0.101081
0.400000,-0.508577,-0.070806
0.410000,-0.529759,-0.040345
0.420000,-0.548372,-0.009842
0.430000,-0.563610,0.020247
0.440000,-0.574037,0.049612
0.450000,-0.578328,0.078311
0.460000,-0.576000,0.106665
0.470000,-0.567610,0.135050
0.480000,-0.554601,0.163770
0.490000,-0.539078,0.193034
0.500000,-0.523456,0.223016
0.510000,-0.509929,0.253938
0.520000,-0.499926,0.286080
0.530000,-0.493979,0.319621
0.540000,-0.492031,0.354411
0.550000,-0.493680,0.389946
0.560000,-0.497965,0.425695
0.570000,-0.503098,0.461502
0.580000,-0.506789,0.497678
0.590000,-0.507006,0.534742
0.600000,-0.502511,0.573113
0.610000,-0.492818,0.613037
0.620000,-0.477906,0.654695
0.630000,-0.458082,0.698280
0.640000,-0.434071,0.743918
0.650000,-0.407038,0.791497
0.660000,-0.378298,0.840638
0.670000,-0.348796,0.890890
0.680000,-0.318734,0.942047
0.690000,-0.287638,0.994358
0.700000,-0.254817,1.048480
0.710000,-0.219935,1.105218
0.720000,-0.183490,1.165130
0.730000,-0.147082,1.228097
0.740000,-0.113240,1.293043
0.750000,-0.084677,1.358091
0.760000,-0.063168,1.421235
0.770000,-0.048772,1.481147
0.780000,-0.039929,1.537563
0.790000,-0.034286,1.591039
0.800000,-0.029600,1.642467
0.810000,-0.024135,1.692819
0.820000,-0.016561,1.743208
0.830000,-0.005675,1.795063
0.840000,0.009686,1.850136
0.850000,0.030437,1.910253
0.860000,0.056897,1.976896
0.870000,0.088564,2.050834
0.880000,0.124203,2.131959
0.890000,0.162231,2.219384
0.900000,0.201193,2.311767
0.910000,0.240083,2.407662
0.920000,0.278398,2.505750
0.930000,0.315953,2.604853
0.940000,0.352660,2.703833
0.950000,0.388408,2.801521
0.960000,0.423087,2.896800
0.970000,0.456723,2.988816
0.980000,0.489573,3.077198
0.990000,0.522123,3.162130
1.000000,0.554932,3.244199
