constraint	redshift	our_fiducial_rd	Distance	S/N	Reference	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI	DESI
DV	0.106	153.7447808	457.5737524	22.4	6dF	417.2786569	0	0	0	0	0	0	0	0	0	0	0	0	0
DV	0.295	150.6174156	1168.18878	105.8933333	BGS	0	121.6995081	0	0	0	0	0	0	0	0	0	0	0	0
DM	0.51	150.6174156	1998.65892	81.36526946	LRG1	0	0	603.3915698	20.4323952	0	0	0	0	0	0	0	0	0	0
H	0.51	150.6174156	93.22401433	51.44235294	LRG1	0	0	20.4323952	3.284081686	0	0	0	0	0	0	0	0	0	0
DM	0.706	150.6174156	2552.15859	98.02824859	LRG2	0	0	0	0	677.8175801	18.69075325	0	0	0	0	0	0	0	0
H	0.706	150.6174156	104.7626124	58.95454545	LRG2	0	0	0	0	18.69075325	3.15775222	0	0	0	0	0	0	0	0
DM	0.934	150.6174156	3173.61384	141.9473684	LRG3+ELG1	0	0	0	0	0	0	499.865855	11.75624236	0	0	0	0	0	0
H	0.934	150.6174156	115.5352092	91.40414508	LRG3+ELG1	0	0	0	0	0	0	11.75624236	1.597706228	0	0	0	0	0	0
DM	1.321	150.6174156	4059.83109	86.79559748	ELG2	0	0	0	0	0	0	0	0	2187.865076	45.50115459	0	0	0	0
H	1.321	150.6174156	143.775157	64.14479638	ELG2	0	0	0	0	0	0	0	0	45.50115459	5.02394457	0	0	0	0
DM	1.484	150.6174156	4488.01008	40.14736842	QSO	0	0	0	0	0	0	0	0	0	0	12496.64637	357.8336946	0	0
H	1.484	150.6174156	159.0197882	24.83914729	QSO	0	0	0	0	0	0	0	0	0	0	357.8336946	40.98538093	0	0
DM	2.33	150.6174156	5734.74492	73.42372881	Lya	0	0	0	0	0	0	0	0	0	0	0	0	6100.358221	93.00172514
H	2.33	150.6174156	236.1163838	85.46534653	Lya	0	0	0	0	0	0	0	0	0	0	0	0	93.00172514	7.632593458
