ra,dec,z
230.384271,-7.413239,0.007000
45.299789,-0.553863,0.060897
166.910917,-29.711378,0.072111
341.392250,-8.751306,0.048783
194.224017,22.373089,0.022762
144.487587,25.494678,0.014300
217.788590,27.236060,0.015666
149.801792,-9.002292,0.030105
21.466790,-1.367130,0.016760
47.619651,-16.493634,0.070403
320.710709,0.421637,0.070830
55.460317,8.156934,0.020801
179.353792,25.202636,0.016200
345.045417,26.099222,0.021618
318.883410,-13.401509,0.054436
179.695125,15.719278,0.018419
357.959458,-27.963056,0.028673
199.515358,42.176111,0.041843
355.049092,27.420997,0.028915
328.993688,-1.070209,0.070667
247.434129,40.811511,0.029411
163.742460,14.271580,0.056685
205.819542,-31.555972,0.009033
31.460917,18.375064,0.026582
38.521083,1.395139,0.072409
229.995476,4.904704,0.038353
65.843083,25.411328,0.020695
345.449521,15.586476,0.012883
132.646458,-61.277944,0.022527
241.352131,1.216300,0.032941
324.286381,0.437098,0.048819
163.891687,-3.366303,0.071719
0.893672,24.217888,0.058688
257.874500,7.995778,0.008554
241.126920,17.468781,0.039897
90.819370,-26.898610,0.033701
147.733208,33.552611,0.006025
20.493500,-34.212083,0.018113
193.372292,2.160833,0.004577
238.234125,65.936861,0.036458
236.376310,-13.152790,0.029009
43.239034,1.606756,0.034222
65.946625,-51.600806,0.020548
348.667958,4.537250,0.007686
247.171375,39.553472,0.031263
20.228417,4.805322,0.032929
230.781983,8.529386,0.033454
94.054167,57.052472,0.016777
335.636960,18.873420,0.022728
162.802920,19.362500,0.048968
136.664750,19.338269,0.011932
336.718830,10.489653,0.044004
185.253250,-53.530489,0.020835
158.713530,16.111548,0.096140
74.566167,-16.299453,0.019985
249.997529,12.107172,0.057604
6.644417,-32.809167,0.045161
224.476352,18.604732,0.068176
317.993875,-0.218100,0.058645
316.258150,8.271489,0.066904
161.691710,11.835420,0.004144
7.502973,33.292718,0.074043
184.220820,-3.258065,0.068246
340.025837,24.699075,0.041483
60.471708,-26.663931,0.071859
71.338500,11.067361,0.015831
47.619667,-16.493633,0.069204
41.288625,-55.738031,0.018338
269.418417,27.832806,0.023201
104.297915,20.437122,0.017104
349.568917,0.261944,0.028550
154.212308,60.281478,0.031213
202.507325,13.415751,0.025518
218.576167,-37.479094,0.014831
256.028875,25.052839,0.039974
161.637750,13.741944,0.011299
1.452179,27.452394,0.023934
209.270208,41.844944,0.007947
165.401542,-6.108778,0.039284
355.467380,-8.637920,0.033079
178.939625,55.325556,0.003413
20.060167,3.402767,0.006760
121.288333,-22.599831,0.019551
151.449746,-17.434361,0.017817
199.574000,35.707164,0.053824
245.679958,18.959717,0.036807
157.378167,-35.259778,0.010830
55.910210,46.159100,0.016314
350.200038,32.502389,0.070605
148.684040,23.198080,0.071928
337.572085,24.993215,0.063687
29.565671,36.349378,0.015000
149.013250,10.499628,0.031224
242.768125,52.452222,0.063420
95.394875,-27.214864,0.005794
129.596583,17.627722,0.027595
164.688250,59.486667,0.022533
134.585667,-65.363819,0.018997
52.425296,-27.877253,0.065075
82.765083,-19.799800,0.098081
16.686405,-11.126435,0.041069
163.695708,61.288889,0.017706
16.848000,32.406444,0.016433
47.201850,-35.230800,0.014460
242.835089,52.841639,0.083385
270.597333,26.052139,0.015013
358.554045,27.409139,0.022543
160.117581,9.202307,0.020700
157.341583,29.510639,0.005541
274.384208,19.444581,0.009463
202.779617,19.477158,0.088020
191.190000,9.759610,0.047689
42.532333,-0.265469,0.028409
189.115292,11.757806,0.067010
312.220947,0.191135,0.094009
15.861958,32.236778,0.016726
57.434667,-3.264628,0.012472
5.006083,-6.334333,0.011261
204.198298,5.141783,0.046278
196.835488,35.784222,0.037514
88.155796,66.816883,0.017125
18.825458,-6.859039,0.020159
277.924583,16.652039,0.015613
243.778924,50.278547,0.054031
38.131542,35.483603,0.039242
32.116667,6.387944,0.010828
41.293333,-4.713722,0.025462
351.286712,-9.978731,0.068357
36.930075,28.176979,0.033678
260.924183,30.497083,0.023247
216.721063,23.935255,0.075242
250.290450,50.972470,0.047776
128.972454,0.706382,0.014365
224.055464,18.853887,0.072464
10.519000,-2.628000,0.050598
237.800423,25.707838,0.021748
150.077375,54.539742,0.005729
174.432763,22.009575,0.031199
262.880275,69.310997,0.045814
44.088625,-32.185769,0.015797
342.641792,-1.542361,0.008927
8.640957,-1.217578,0.071525
197.742208,37.059833,0.003934
334.771833,24.594389,0.026338
209.571662,-23.372689,0.037537
158.959625,-34.272889,0.013961
218.379930,17.020010,0.050931
329.518095,-13.998616,0.058052
237.161330,-3.317690,0.031099
161.105792,-32.209119,0.010900
21.346000,-18.172444,0.031043
198.251725,-19.519044,0.010400
210.747000,34.748417,0.013223
148.452590,9.193830,0.031073
308.264523,-26.210514,0.088010
122.759583,5.087194,0.031272
54.006409,1.103377,0.040249
306.276417,-24.814917,0.009824
38.164412,0.619417,0.019895
315.139080,-24.617497,0.046654
18.592750,-13.153090,0.070734
343.353917,4.799222,0.022739
201.974042,-29.618539,0.015328
153.926308,55.668708,0.024758
206.391163,35.610161,0.024392
241.059800,16.690020,0.044883
167.445083,-13.380739,0.016089
124.781042,-78.698333,0.018715
228.476360,4.757190,0.042526
205.683458,8.092706,0.084010
138.823458,-25.600083,0.054488
63.250875,-53.992711,0.042935
332.093241,-10.972504,0.071338
332.976250,3.494167,0.068724
229.851800,49.499000,0.037569
305.065010,0.217341,0.089320
174.943417,-8.859667,0.078383
306.608387,2.908814,0.015557
332.290170,-47.134020,0.005163
133.691708,39.537806,0.013975
334.787017,13.177747,0.026669
211.673250,30.318750,0.056420
51.508917,-17.562900,0.014096
210.566667,-53.541333,0.013256
267.051570,17.625440,0.020936
15.433500,-15.569194,0.017751
331.148167,42.325750,0.013173
264.903216,37.868763,0.042392
151.432554,10.271300,0.025099
162.111700,59.495439,0.076728
343.097708,-20.614806,0.032022
144.723129,-4.851558,0.023271
65.419125,-3.540653,0.038732
36.413083,24.764889,0.032550
154.819340,4.761670,0.047344
153.566733,3.467225,0.005300
1.763170,-20.696840,0.051382
349.760158,13.790653,0.047564
141.900042,-80.177556,0.017942
149.754000,17.820089,0.026823
10.459725,-9.305308,0.054516
353.337371,4.809650,0.016817
213.213410,35.711070,0.028452
352.644170,-18.891530,0.071480
104.900575,59.517003,0.011095
299.161083,-38.607722,0.017532
302.509790,-0.739250,0.017056
191.380833,54.738056,0.016568
135.055620,-13.633980,0.032070
218.943833,45.188808,0.069774
181.357600,-21.400330,0.033146
306.083039,6.174524,0.073647
177.757542,-28.744081,0.006311
359.090917,32.456689,0.015013
248.614483,76.029539,0.040600
75.208500,-38.653197,0.056025
105.731250,62.772500,0.015300
284.670070,43.468860,0.028502
177.356167,-5.120500,0.009918
49.127980,-7.054955,0.058723
57.082417,70.131806,0.003718
359.172100,3.220300,0.037801
308.225792,9.928528,0.014730
129.596583,17.627722,0.028321
27.721933,33.098131,0.037093
4.109042,-0.352658,0.058512
208.162520,-2.002240,0.024997
190.694917,2.659481,0.004215
315.989620,13.368360,0.036014
175.364583,-38.634239,0.014817
43.492080,-21.648020,0.030390
122.310417,0.280889,0.018268
218.486692,3.798839,0.030794
149.749375,17.818719,0.026550
32.321458,-23.412436,0.017040
221.447875,50.396761,0.013715
333.668429,5.080158,0.024700
244.467810,-0.333631,0.057205
123.377625,71.429200,0.017538
314.125375,-18.559528,0.027542
184.881083,49.817833,0.014305
210.815630,41.603990,0.035014
256.801704,35.509828,0.028062
88.838042,-76.922444,0.016002
345.634125,32.586994,0.018770
153.451000,38.763167,0.023938
225.944792,-3.304556,0.021912
240.675125,37.359556,0.031534
348.805208,-44.742917,0.042900
30.553208,-0.097639,0.018778
182.486879,47.095642,0.032222
183.405454,46.483467,0.027225
198.886840,3.500640,0.021215
359.635254,-18.709163,0.032968
111.251750,23.784167,0.018912
11.984125,22.373961,0.018318
231.995500,42.846861,0.018888
164.947042,-16.819611,0.070253
141.110240,5.170750,0.092907
190.711542,-30.412125,0.015426
279.995587,39.982317,0.021450
64.407708,-62.769306,0.004321
336.382320,38.984310,0.029799
220.762830,-18.879052,0.078761
80.634879,-11.487183,0.008145
229.177523,7.396626,0.039100
174.417620,57.078190,0.073597
184.267817,46.627475,0.056440
154.160917,73.400500,0.009585
43.927458,75.153811,0.014020
332.058958,-25.061550,0.017205
142.229875,49.238139,0.009717
170.256425,21.339708,0.022153
49.838630,41.490250,0.012189
358.386421,8.117278,0.015951
221.777300,11.594900,0.029901
24.288352,-9.352497,0.040528
124.995017,62.820475,0.024844
176.107579,19.713233,0.025121
65.133833,-38.959969,0.041109
129.063117,28.067131,0.012409
36.434638,41.942097,0.018510
353.837100,1.175670,0.083862
181.021500,14.068310,0.045024
239.827000,13.614240,0.034799
353.012833,-27.725500,0.027385
202.303442,11.272403,0.012077
356.917333,-13.981917,0.080766
292.252130,-51.971040,0.015789
49.583990,-2.313377,0.027766
59.086333,-54.011150,0.061590
210.774208,54.273722,0.001195
328.093958,3.421806,0.027772
221.791913,-6.275370,0.071721
185.724794,15.808993,0.006298
92.876670,-16.484600,0.019271
157.365792,22.012889,0.055721
56.847630,0.877170,0.038907
49.366083,-0.086461,0.022287
26.436792,-56.099417,0.087752
270.130333,2.431819,0.023030
10.270405,6.794071,0.037889
163.221917,-32.926333,0.012063
38.011000,-26.665950,0.042645
124.472750,23.469583,0.014540
41.453458,3.230583,0.022268
120.029787,58.709753,0.019518
203.063580,84.678700,0.022962
333.105317,0.851417,0.095097
41.203735,-16.324900,0.076212
207.746190,49.343600,0.030109
319.148464,-0.769884,0.058773
340.114250,3.199444,0.038079
359.737708,-2.248083,0.024272
201.104333,30.956200,0.049184
159.867658,5.183442,0.069128
74.364288,-0.068981,0.023526
93.692480,-66.216940,0.040282
3.749292,16.335000,0.026587
154.423625,-7.415125,0.065641
194.942070,-3.170543,0.088999
267.624875,-1.802519,0.017178
353.307920,-60.569860,0.014353
80.458125,6.676028,0.032136
32.147652,9.921364,0.064198
240.965450,39.990390,0.032015
53.768138,-24.944129,0.004501
37.930850,-25.001620,0.084561
194.850021,27.996425,0.019314
305.893342,58.346472,0.009700
190.436917,35.068639,0.023969
39.010667,43.472086,0.017024
326.625429,6.419222,0.066140
90.200400,-15.399200,0.023007
213.354135,17.783317,0.038866
26.793083,-0.146982,0.082504
344.914610,2.149770,0.049976
30.276708,31.878944,0.016456
234.889667,32.093953,0.054189
121.601425,1.035836,0.016057
206.556417,-9.131089,0.051022
32.389847,-1.000619,0.042445
180.884958,-43.654811,0.016370
125.680212,22.554696,0.007658
108.930417,-71.919450,0.018124
312.453542,-25.700711,0.018966
18.421387,-0.101577,0.016541
230.667829,-5.921239,0.038699
257.546500,21.649036,0.014740
144.376242,23.159328,0.026047
353.598637,-0.683075,0.081179
