#redshift mobs = mB + col2 + col3*c
redshift,c2,c3
0.200100,0.434646,-1.899749
0.300100,0.053175,-1.747242
0.400100,-0.207524,-1.606912
0.500100,-0.453925,-1.388193
0.600100,-0.536646,-1.144068
0.700100,-0.594655,-0.877484
0.800100,-0.643463,-0.614771
0.900100,-0.773544,-0.366288
1.000100,-0.841547,-0.159580
1.100100,-0.971988,0.061376
1.200100,-0.965718,0.249859
1.300100,-0.849561,0.461535
1.400100,-0.769091,0.767525
1.500100,-0.619121,1.088139
1.600100,-0.434077,1.453603
1.700100,-0.257024,1.931058
1.800100,-0.071929,2.470865
