#redshift mobs=mB+col2+col3*c
redshift,c2,c3
-0.010000,0.662410,-1.945700
0.000000,0.662410,-1.945700
0.010000,0.622616,-1.930289
0.020000,0.582964,-1.914135
0.030000,0.543631,-1.897012
0.040000,0.503823,-1.878725
0.050000,0.461443,-1.859352
0.060000,0.412502,-1.839435
0.070000,0.356501,-1.819317
0.080000,0.295875,-1.799180
0.090000,0.234369,-1.779419
0.100000,0.178222,-1.760564
0.110000,0.134092,-1.742884
0.120000,0.104268,-1.726005
0.130000,0.084349,-1.708708
0.140000,0.065316,-1.689449
0.150000,0.039212,-1.667344
0.160000,0.005033,-1.642688
0.170000,-0.033625,-1.616493
0.180000,-0.071731,-1.589724
0.190000,-0.106360,-1.562730
0.200000,-0.138495,-1.535416
0.210000,-0.170377,-1.507538
0.220000,-0.203615,-1.479038
0.230000,-0.237438,-1.450221
0.240000,-0.267820,-1.421378
0.250000,-0.287849,-1.392465
0.260000,-0.296303,-1.363463
0.270000,-0.299564,-1.334405
0.280000,-0.300859,-1.304821
0.290000,-0.300841,-1.274247
0.300000,-0.301013,-1.242552
0.310000,-0.305294,-1.210239
0.320000,-0.317141,-1.178231
0.330000,-0.337246,-1.147441
0.340000,-0.364046,-1.118216
0.350000,-0.391301,-1.089524
0.360000,-0.411033,-1.060058
0.370000,-0.421732,-1.029874
0.380000,-0.426672,-0.999708
0.390000,-0.426889,-0.969810
0.400000,-0.422656,-0.940056
0.410000,-0.416307,-0.910465
0.420000,-0.410843,-0.881045
0.430000,-0.408299,-0.851398
0.440000,-0.406829,-0.820876
0.450000,-0.402890,-0.789116
0.460000,-0.397805,-0.756190
0.470000,-0.396332,-0.722433
0.480000,-0.401292,-0.688467
0.490000,-0.413523,-0.655125
0.500000,-0.433004,-0.622856
0.510000,-0.457842,-0.591485
0.520000,-0.483878,-0.560664
0.530000,-0.507395,-0.530423
0.540000,-0.528118,-0.501346
0.550000,-0.547220,-0.473913
0.560000,-0.563218,-0.447652
0.570000,-0.572864,-0.421530
0.580000,-0.575406,-0.395032
0.590000,-0.573524,-0.368356
0.600000,-0.570479,-0.341767
0.610000,-0.568273,-0.315259
0.620000,-0.568506,-0.288777
0.630000,-0.573029,-0.262381
0.640000,-0.582935,-0.236038
0.650000,-0.597833,-0.209503
0.660000,-0.616637,-0.182617
0.670000,-0.638419,-0.155575
0.680000,-0.662260,-0.128754
0.690000,-0.686849,-0.102340
0.700000,-0.710562,-0.076235
0.710000,-0.732062,-0.050249
0.720000,-0.750943,-0.024291
0.730000,-0.767784,0.001654
0.740000,-0.783440,0.027628
0.750000,-0.798082,0.053734
0.760000,-0.810670,0.080064
0.770000,-0.819400,0.106593
0.780000,-0.822712,0.133133
0.790000,-0.820080,0.159357
0.800000,-0.811924,0.184932
0.810000,-0.799183,0.209654
0.820000,-0.783002,0.233491
0.830000,-0.764698,0.256579
0.840000,-0.745701,0.279210
0.850000,-0.727486,0.301832
0.860000,-0.711451,0.324975
0.870000,-0.698757,0.349111
0.880000,-0.690063,0.374547
0.890000,-0.685385,0.401432
0.900000,-0.684046,0.429862
0.910000,-0.684806,0.459961
0.920000,-0.686099,0.491847
0.930000,-0.686410,0.525537
0.940000,-0.684773,0.560878
0.950000,-0.680948,0.597594
0.960000,-0.675120,0.635400
0.970000,-0.667437,0.674117
0.980000,-0.657513,0.713718
0.990000,-0.644706,0.754238
1.000000,-0.628690,0.795646
1.010000,-0.609789,0.837755
1.020000,-0.588978,0.880267
1.030000,-0.567241,0.922953
1.040000,-0.545077,0.965803
1.050000,-0.522288,1.009074
1.060000,-0.498127,1.053207
1.070000,-0.471697,1.098678
1.080000,-0.442357,1.145869
1.090000,-0.410213,1.194916
1.100000,-0.376351,1.245563
1.110000,-0.342696,1.297097
1.120000,-0.311620,1.348426
1.130000,-0.285116,1.398433
1.140000,-0.264187,1.446437
1.150000,-0.248749,1.492437
1.160000,-0.237856,1.537062
1.170000,-0.230226,1.581212
1.180000,-0.224682,1.625653
1.190000,-0.220267,1.670805
1.200000,-0.216164,1.716772
1.210000,-0.211505,1.763520
1.220000,-0.205207,1.811127
1.230000,-0.196035,1.859939
1.240000,-0.182786,1.910583
1.250000,-0.164575,1.963851
1.260000,-0.141181,2.020503
1.270000,-0.113160,2.081083
1.280000,-0.081703,2.145823
1.290000,-0.048382,2.214641
1.300000,-0.014752,2.287233
1.310000,0.018058,2.363216
1.320000,0.049480,2.442215
1.330000,0.079410,2.523876
1.340000,0.108056,2.607825
1.350000,0.135711,2.693570
1.360000,0.162542,2.780419
1.370000,0.188582,2.867497
1.380000,0.213826,2.953844
1.390000,0.238324,3.038556
1.400000,0.262247,3.120942
1.410000,0.285905,3.200637
1.420000,0.309702,3.277614
1.430000,0.334038,3.352078
1.440000,0.359189,3.424297
1.450000,0.385236,3.494434
1.460000,0.412136,3.562452
1.470000,0.439779,3.628115
1.480000,0.468004,3.691062
1.490000,0.496692,3.750965
1.500000,0.525888,3.807712
